,FIPS,4/19/20 Number of Infected,4/19/20 Number of Death,county_state,Mortality Rate (County Level)
0,01001,26,2,"Autauga, Alabama",0.077
1,01003,112,2,"Baldwin, Alabama",0.018
2,01005,20,0,"Barbour, Alabama",0.0
3,01007,28,0,"Bibb, Alabama",0.0
4,01009,21,0,"Blount, Alabama",0.0
5,01011,9,0,"Bullock, Alabama",0.0
6,01013,14,0,"Butler, Alabama",0.0
7,01015,71,2,"Calhoun, Alabama",0.028
8,01017,245,13,"Chambers, Alabama",0.053
9,01019,12,0,"Cherokee, Alabama",0.0
10,01021,41,0,"Chilton, Alabama",0.0
11,01023,14,0,"Choctaw, Alabama",0.0
12,01025,24,0,"Clarke, Alabama",0.0
13,01027,18,0,"Clay, Alabama",0.0
14,01029,12,1,"Cleburne, Alabama",0.083
15,01031,59,0,"Coffee, Alabama",0.0
16,01033,16,1,"Colbert, Alabama",0.062
17,01035,10,0,"Conecuh, Alabama",0.0
18,01037,22,1,"Coosa, Alabama",0.045
19,01039,22,1,"Covington, Alabama",0.045
20,01041,6,0,"Crenshaw, Alabama",0.0
21,01043,42,0,"Cullman, Alabama",0.0
22,01045,20,0,"Dale, Alabama",0.0
23,01047,25,2,"Dallas, Alabama",0.08
24,01049,42,2,"DeKalb, Alabama",0.048
25,01051,63,1,"Elmore, Alabama",0.016
26,01053,14,0,"Escambia, Alabama",0.0
27,01055,98,7,"Etowah, Alabama",0.071
28,01057,4,0,"Fayette, Alabama",0.0
29,01059,17,0,"Franklin, Alabama",0.0
30,01061,4,0,"Geneva, Alabama",0.0
31,01063,29,0,"Greene, Alabama",0.0
32,01065,25,1,"Hale, Alabama",0.04
33,01067,17,0,"Henry, Alabama",0.0
34,01069,66,2,"Houston, Alabama",0.03
35,01071,38,2,"Jackson, Alabama",0.053
36,01073,682,25,"Jefferson, Alabama",0.037
37,01075,8,0,"Lamar, Alabama",0.0
38,01077,23,4,"Lauderdale, Alabama",0.174
39,01079,9,0,"Lawrence, Alabama",0.0
40,01081,308,14,"Lee, Alabama",0.045
41,01083,40,0,"Limestone, Alabama",0.0
42,01085,28,0,"Lowndes, Alabama",0.0
43,01087,25,2,"Macon, Alabama",0.08
44,01089,199,4,"Madison, Alabama",0.02
45,01091,26,1,"Marengo, Alabama",0.038
46,01093,61,5,"Marion, Alabama",0.082
47,01095,149,4,"Marshall, Alabama",0.027
48,01097,661,28,"Mobile, Alabama",0.042
49,01099,9,1,"Monroe, Alabama",0.111
50,01101,226,3,"Montgomery, Alabama",0.013
51,01103,47,0,"Morgan, Alabama",0.0
52,01105,9,0,"Perry, Alabama",0.0
53,01107,38,0,"Pickens, Alabama",0.0
54,01109,37,0,"Pike, Alabama",0.0
55,01111,53,3,"Randolph, Alabama",0.057
56,01113,43,0,"Russell, Alabama",0.0
57,01115,54,0,"St. Clair, Alabama",0.0
58,01117,268,7,"Shelby, Alabama",0.026
59,01119,36,0,"Sumter, Alabama",0.0
60,01121,46,1,"Talladega, Alabama",0.022
61,01123,195,12,"Tallapoosa, Alabama",0.062
62,01125,145,1,"Tuscaloosa, Alabama",0.007
63,01127,85,0,"Walker, Alabama",0.0
64,01129,16,1,"Washington, Alabama",0.062
65,01131,47,1,"Wilcox, Alabama",0.021
66,01133,9,0,"Winston, Alabama",0.0
67,0,0,0,0,0.0
68,0,0,0,0,0.0
69,02020,154,4,"Anchorage, Alaska",0.026
70,02050,1,0,"Bethel, Alaska",0.0
71,0,0,0,0,0.0
72,0,0,0,0,0.0
73,0,0,0,0,0.0
74,02090,79,1,"Fairbanks North Star, Alaska",0.013
75,0,0,0,0,0.0
76,0,0,0,0,0.0
77,02110,24,0,"Juneau, Alaska",0.0
78,02122,19,0,"Kenai Peninsula, Alaska",0.0
79,02130,15,0,"Ketchikan Gateway, Alaska",0.0
80,02150,1,0,"Kodiak Island, Alaska",0.0
81,0,0,0,0,0.0
82,0,0,0,0,0.0
83,02170,18,0,"Matanuska-Susitna, Alaska",0.0
84,02180,1,0,"Nome, Alaska",0.0
85,0,0,0,0,0.0
86,0,0,0,0,0.0
87,02195,3,0,"Petersburg, Alaska",0.0
88,02198,2,0,"Prince of Wales-Hyder, Alaska",0.0
89,0,0,0,0,0.0
90,0,0,0,0,0.0
91,02240,1,0,"Southeast Fairbanks, Alaska",0.0
92,0,0,0,0,0.0
93,0,0,0,0,0.0
94,0,0,0,0,0.0
95,02290,1,0,"Yukon-Koyukuk, Alaska",0.0
96,04001,178,4,"Apache, Arizona",0.022
97,04003,24,0,"Cochise, Arizona",0.0
98,04005,333,26,"Coconino, Arizona",0.078
99,04007,7,0,"Gila, Arizona",0.0
100,04009,2,0,"Graham, Arizona",0.0
101,04011,2,0,"Greenlee, Arizona",0.0
102,04012,5,1,"La Paz, Arizona",0.2
